trade_id,scenario_id,symbol,entry_time,entry_price,exit_time,exit_price,exit_reason,position_size,pnl,pnl_pct,fees,slippage
174,S001_RR1,BTC/USDT,2024-05-04T03:35:00,62719.14,2024-05-04T04:45:00,62939.281838997165,Take Profit,0.29075374137300736,9.299589489067877,0.3509962652503939,73.00730550611092,18.235824610697442
175,S001_RR1,BTC/USDT,2024-05-04T03:40:00,62728.0,2024-05-04T04:45:00,62947.39959379754,Take Profit,0.29068397784498873,9.073872975862713,0.3497634131449137,72.99987419570445,18.23402456226045
176,S001_RR1,BTC/USDT,2024-05-04T03:45:00,62673.45,2024-05-04T04:45:00,62881.77964795787,Take Profit,0.290907549795868,5.908128106998532,0.3324049465249978,72.98932377445264,18.232179776753846
177,S001_RR1,BTC/USDT,2024-05-04T03:50:00,62677.01,2024-05-04T04:45:00,62882.23569489682,Take Profit,0.2908515075222384,5.001094206579996,0.32743376701731725,72.97850158468867,18.22970284548641
178,S001_RR1,BTC/USDT,2024-05-04T03:55:00,62724.0,2024-05-04T04:45:00,62926.91560224391,Take Profit,0.2905912439531608,4.284361716409251,0.3235055198072713,72.96714624014581,18.22704518571806
179,S001_RR1,BTC/USDT,2024-05-04T04:00:00,62815.99,2024-05-04T04:45:00,63042.44685527806,Take Profit,0.2901211117730495,11.027180054125644,0.3605082961807368,72.96267933832094,18.22424485592476
180,S001_RR1,BTC/USDT,2024-05-04T04:05:00,62749.27,2024-05-04T04:45:00,62988.42594124098,Take Profit,0.2904064430228663,14.784049314635489,0.3811294398181593,72.96062163814939,18.222792302981453
181,S001_RR1,BTC/USDT,2024-05-04T04:10:00,62748.0,2024-05-04T04:45:00,62973.37848240885,Take Profit,0.290401138903209,10.783895984111414,0.3591803442481843,72.95381282357005,18.22209066389856
182,S001_RR1,BTC/USDT,2024-05-04T04:15:00,62723.64,2024-05-04T04:45:00,62944.254684754334,Take Profit,0.2904899960354503,9.424589094861862,0.3517249393599208,72.9464460986157,18.220589934929013
183,S001_RR1,BTC/USDT,2024-05-04T04:20:00,62696.01,2024-05-04T04:45:00,62902.1127267871,Take Profit,0.2905897507271865,5.23488624878804,0.3287334023123575,72.93516300995802,18.218817917489194
184,S001_RR1,BTC/USDT,2024-05-04T04:25:00,62731.99,2024-05-04T04:45:00,62924.61236321548,Take Profit,0.29038149679115,1.2853426872971951,0.3070560382597136,72.92077058169576,18.21620915288745
185,S001_RR1,BTC/USDT,2024-05-04T04:30:00,62801.68,2024-05-04T04:45:00,63001.82938145342,Take Profit,0.2900051685368976,3.4059197225535804,0.3187006803853316,72.90929152630221,18.212811792800313
186,S001_RR1,BTC/USDT,2024-05-04T04:35:00,62792.81,2024-05-04T04:45:00,62989.50279725963,Take Profit,0.2899987881656395,2.411156429657158,0.31324095427427334,72.89639589490722,18.20983880551525
187,S001_RR1,BTC/USDT,2024-05-04T04:40:00,62856.0,2024-05-04T04:45:00,63056.023757625015,Take Profit,0.2896567974561776,3.3182380660959474,0.31822540031980195,72.88460888467081,18.2066676609055
188,S001_RR1,BTC/USDT,2024-05-04T04:45:00,62980.02,2024-05-04T05:40:00,63271.04058994167,Take Profit,0.28903894262558705,29.505248437001608,0.46208399098900893,72.89882983295232,18.203678387338325
189,S001_RR1,BTC/USDT,2024-05-04T04:50:00,62997.98,2024-05-04T05:45:00,63293.23451128279,Take Profit,0.2889921530514396,30.708471279488453,0.4686729817095509,72.9090137492799,18.205921878091534
190,S001_RR1,BTC/USDT,2024-05-04T05:00:00,62992.24,2024-05-04T05:55:00,63303.52872180796,Take Profit,0.2890579113034312,35.35525176995133,0.4941699514225294,72.92360175863594,18.208405322724452
191,S001_RR1,BTC/USDT,2024-05-04T05:05:00,63044.5,2024-05-04T05:55:00,63343.783558900235,Take Profit,0.2888724106927697,31.819313052461524,0.47471795144736695,72.9337215468215,18.21181669592032
192,S001_RR1,BTC/USDT,2024-05-04T05:10:00,63172.0,2024-05-04T06:40:00,62973.59654937188,Stop Loss,0.28833218679539985,-111.84966350007507,-0.31406865482827334,72.80087751616864,18.214520904239
193,S001_RR1,BTC/USDT,2024-05-04T05:15:00,63052.0,2024-05-04T05:55:00,63381.77609535173,Take Profit,0.2884685578344588,40.564476108657104,0.5230224185620252,72.84920806894758,18.188519508578295
194,S001_RR1,BTC/USDT,2024-05-04T05:20:00,63019.11,2024-05-04T05:55:00,63341.9326159715,Take Profit,0.2886898224029409,38.61667665079028,0.512261464770762,72.86509829923806,18.192975673891397
195,S001_RR1,BTC/USDT,2024-05-04T05:25:00,63056.0,2024-05-04T05:55:00,63357.4862671753,Take Profit,0.28858541256924075,32.41341347184612,0.4781246307651927,72.87517163866093,18.197041774966046
196,S001_RR1,BTC/USDT,2024-05-04T05:30:00,63125.4,2024-05-04T05:55:00,63410.59476488526,Take Profit,0.28831290809084226,27.625729091159883,0.451790824113999,72.88169592562699,18.199867648397657
197,S001_RR1,BTC/USDT,2024-05-04T05:35:00,63149.86,2024-05-04T05:55:00,63420.658796233896,Take Profit,0.2882308270456943,23.447351874614775,0.42881931366735526,72.88499806348071,18.20173637561981
198,S001_RR1,BTC/USDT,2024-05-04T05:45:00,63145.66,2024-05-04T05:55:00,63441.7010958379,Take Profit,0.2882663652293349,30.730380991078352,0.4688225538190586,72.89641824348531,18.202769888207403
199,S001_RR1,BTC/USDT,2024-05-04T05:50:00,63241.09,2024-05-04T06:35:00,63060.750630164286,Stop Loss,0.28787072364960553,-106.5301999251893,-0.2851617039423425,72.7691189458622,18.20525834268983
200,S001_RR1,BTC/USDT,2024-05-04T05:55:00,63384.01,2024-05-04T06:05:00,63185.31587947572,Stop Loss,0.286828202158892,-111.53204227128623,-0.3134767278439527,72.6642954583154,18.18032163392123
201,S001_RR1,BTC/USDT,2024-05-04T06:00:00,63257.35,2024-05-04T06:35:00,63058.604428878956,Stop Loss,0.28699258757054635,-111.50167740228109,-0.3141857367105045,72.5605237316986,18.1543905593557
